Site_Number,Sampling_Area,Notes,Cover_Type,Cover_Class_Name,Cover_Percent
1087,ALMO: One Mile Upper,"Species/FT cover initially summed to more than PV cover, reduced other forb by 5%",Live Vegetation - Other Species,Other Graminoid ,5
1087,ALMO: One Mile Upper,"Species/FT cover initially summed to more than PV cover, reduced other forb by 5%",Other Cover Types,Non-Photosynthetic Vegetation,15
1088,ALMO: One Mile Upper,NA,Live Vegetation - Named Species,Melanthiaceae-Veratrum californicum,35
1088,ALMO: One Mile Upper,NA,Live Vegetation - Named Species,Rosaceae-Dasiphora fruticosa,20
1088,ALMO: One Mile Upper,NA,Live Vegetation - Other Species,Other Forb ,10
1088,ALMO: One Mile Upper,NA,Live Vegetation - Other Species,Other Graminoid ,15
1088,ALMO: One Mile Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,20
1089,ALMO: One Mile Upper,NA,Live Vegetation - Named Species,Rosaceae-Geum triflorum,65
1089,ALMO: One Mile Upper,NA,Live Vegetation - Named Species,Iridaceae-Iris missouriensis,10
1089,ALMO: One Mile Upper,NA,Live Vegetation - Named Species,Asteraceae-Pyrrocoma crocea,10
1089,ALMO: One Mile Upper,NA,Live Vegetation - Other Species,Other Forb ,5
1089,ALMO: One Mile Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1090,ALMO: One Mile Upper,NA,Live Vegetation - Named Species,Rosaceae-Potentilla pulcherrima,15
1090,ALMO: One Mile Upper,NA,Live Vegetation - Named Species,Poaceae-Poa pratensis,10
1090,ALMO: One Mile Upper,NA,Live Vegetation - Other Species,Other Forb ,35
1090,ALMO: One Mile Upper,NA,Live Vegetation - Other Species,Other Graminoid ,20
1090,ALMO: One Mile Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,20
1091,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,10
1091,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,5
1091,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Graminoid ,10
1091,CRBU: Upper Upper,NA,Other Cover Types,Nonvegetated Dirt ,70
1091,CRBU: Upper Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1092,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Caprifoliaceae-Symphoricarpos rotundifolius,10
1092,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Polygonaceae-Eriogonum umbellatum,15
1092,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,5
1092,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Graminoid ,5
1092,CRBU: Upper Upper,NA,Other Cover Types,Nonvegetated Dirt ,50
1092,CRBU: Upper Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,15
1093,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Poaceae-Bromus carinatus,10
1093,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Caprifoliaceae-Symphoricarpos rotundifolius,15
1093,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Lamiaceae-Agastache urticifolia,10
1093,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,10
1093,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Forb ,15
1093,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Graminoid ,25
1093,CRBU: Upper Upper,NA,Other Cover Types,Nonvegetated Dirt ,5
1093,CRBU: Upper Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1094,CRBU: Upper Upper,"initially summed to 105%, reduced NPV by 5% after reviewing photo.",Live Vegetation - Other Species,Other Forb ,5
1094,CRBU: Upper Upper,"initially summed to 105%, reduced NPV by 5% after reviewing photo.",Live Vegetation - Other Species,Other Deciduous Shrub ,15
1094,CRBU: Upper Upper,"initially summed to 105%, reduced NPV by 5% after reviewing photo.",Live Vegetation - Other Species,Other Graminoid ,5
1094,CRBU: Upper Upper,"initially summed to 105%, reduced NPV by 5% after reviewing photo.",Other Cover Types,Nonvegetated Dirt ,60
1094,CRBU: Upper Upper,"initially summed to 105%, reduced NPV by 5% after reviewing photo.",Other Cover Types,Nonvegetated Rock,5
1094,CRBU: Upper Upper,"initially summed to 105%, reduced NPV by 5% after reviewing photo.",Other Cover Types,Non-Photosynthetic Vegetation,10
1095,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Lamiaceae-Agastache urticifolia,45
1095,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,20
1095,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Poaceae-Festuca thurberi,10
1095,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Forb ,20
1095,CRBU: Upper Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1096,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,20
1096,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Poaceae-Festuca thurberi,10
1096,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Poaceae-Bromus carinatus,10
1096,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Lamiaceae-Agastache urticifolia,35
1096,CRBU: Upper Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,25
1097,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Poaceae-Festuca thurberi,50
1097,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Forb ,15
1097,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Graminoid ,5
1097,CRBU: Upper Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,30
1098,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Fabaceae-Lupinus argenteus,10
1098,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,10
1098,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Graminoid ,5
1098,CRBU: Upper Upper,NA,Other Cover Types,Nonvegetated Dirt ,70
1098,CRBU: Upper Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1099,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Poaceae-Festuca thurberi,20
1099,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,10
1099,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Forb ,10
1099,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,10
1099,CRBU: Upper Upper,NA,Other Cover Types,Nonvegetated Dirt ,5
1099,CRBU: Upper Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,45
1100,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Fabaceae-Lupinus argenteus,15
1100,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,10
1100,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Poaceae-Festuca thurberi,10
1100,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,10
1100,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Ericameria nauseosa,10
1100,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Forb ,10
1100,CRBU: Upper Upper,NA,Other Cover Types,Nonvegetated Dirt ,5
1100,CRBU: Upper Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,30
1101,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Wyethia amplexicaulis,10
1101,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Fabaceae-Lupinus bakeri,10
1101,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Poaceae-Festuca thurberi,10
1101,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Forb ,15
1101,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,10
1101,CRBU: Upper Upper,NA,Other Cover Types,Nonvegetated Dirt ,35
1101,CRBU: Upper Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1102,CRBU: Upper Upper,"initially species/ft cover summed greater than PV cover, boosted other forb by 10% after reviewing photo.",Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,15
1102,CRBU: Upper Upper,"initially species/ft cover summed greater than PV cover, boosted other forb by 10% after reviewing photo.",Live Vegetation - Named Species,Asteraceae-Chrysothamnus viscidiflorus,10
1102,CRBU: Upper Upper,"initially species/ft cover summed greater than PV cover, boosted other forb by 10% after reviewing photo.",Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,15
1102,CRBU: Upper Upper,"initially species/ft cover summed greater than PV cover, boosted other forb by 10% after reviewing photo.",Live Vegetation - Named Species,Poaceae-Festuca thurberi,10
1102,CRBU: Upper Upper,"initially species/ft cover summed greater than PV cover, boosted other forb by 10% after reviewing photo.",Live Vegetation - Other Species,Other Forb ,30
1102,CRBU: Upper Upper,"initially species/ft cover summed greater than PV cover, boosted other forb by 10% after reviewing photo.",Other Cover Types,Non-Photosynthetic Vegetation,20
1103,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,25
1103,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,20
1103,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Forb ,10
1103,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,5
1103,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Graminoid ,5
1103,CRBU: Upper Upper,NA,Other Cover Types,Nonvegetated Dirt ,10
1103,CRBU: Upper Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,25
1104,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Poaceae-Festuca thurberi,20
1104,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Caprifoliaceae-Symphoricarpos rotundifolius,15
1104,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,10
1104,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Forb ,20
1104,CRBU: Upper Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,35
1105,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,15
1105,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Polygonaceae-Eriogonum umbellatum,10
1105,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Chrysothamnus viscidiflorus,10
1105,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Graminoid ,5
1105,CRBU: Upper Upper,NA,Other Cover Types,Nonvegetated Dirt ,40
1105,CRBU: Upper Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,20
1106,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,10
1106,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Fabaceae-Lupinus bakeri,25
1106,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Forb ,5
1106,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,5
1106,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Graminoid ,5
1106,CRBU: Upper Upper,NA,Other Cover Types,Nonvegetated Dirt ,40
1106,CRBU: Upper Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1107,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,15
1107,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Chrysothamnus viscidiflorus,10
1107,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Wyethia amplexicaulis,10
1107,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Fabaceae-Lupinus bakeri,15
1107,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Forb ,30
1107,CRBU: Upper Upper,NA,Other Cover Types,Nonvegetated Dirt ,5
1107,CRBU: Upper Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,15
1108,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Fabaceae-Lupinus bakeri,10
1108,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,10
1108,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Forb ,15
1108,CRBU: Upper Upper,NA,Other Cover Types,Nonvegetated Dirt ,55
1108,CRBU: Upper Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1109,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Caprifoliaceae-Symphoricarpos rotundifolius,80
1109,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Graminoid ,10
1109,CRBU: Upper Upper,NA,Other Cover Types,Nonvegetated Dirt ,5
1109,CRBU: Upper Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1110,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Wyethia amplexicaulis,25
1110,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Lamiaceae-Agastache urticifolia,20
1110,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,10
1110,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Poaceae-Bromus carinatus,10
1110,CRBU: Upper Upper,NA,Live Vegetation - Named Species,Asteraceae-Chrysothamnus viscidiflorus,15
1110,CRBU: Upper Upper,NA,Live Vegetation - Other Species,Other Forb ,10
1110,CRBU: Upper Upper,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1111,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,15
1111,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Forb ,5
1111,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Dirt ,5
1111,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Rock,65
1111,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1112,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Poaceae-Festuca thurberi,10
1112,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Asteraceae-Helianthella quinquenervis,10
1112,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Forb ,5
1112,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,5
1112,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Dirt ,15
1112,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Rock,40
1112,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Non-Photosynthetic Vegetation,15
1113,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Polygonaceae-Eriogonum umbellatum,10
1113,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Asteraceae-Heterotheca villosa,10
1113,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Forb ,5
1113,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Graminoid ,10
1113,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Dirt ,25
1113,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Rock,30
1113,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1114,CRBU: Gothic Townsite Dry Meadow,"Species/FT cover initially summed to 5% more than PV cover, reduced other forb by 5%.",Live Vegetation - Named Species,Asteraceae-Heterotheca villosa,15
1114,CRBU: Gothic Townsite Dry Meadow,"Species/FT cover initially summed to 5% more than PV cover, reduced other forb by 5%.",Live Vegetation - Named Species,Rosaceae-Amelanchier alnifolia,15
1114,CRBU: Gothic Townsite Dry Meadow,"Species/FT cover initially summed to 5% more than PV cover, reduced other forb by 5%.",Live Vegetation - Other Species,Other Forb ,10
1114,CRBU: Gothic Townsite Dry Meadow,"Species/FT cover initially summed to 5% more than PV cover, reduced other forb by 5%.",Other Cover Types,Nonvegetated Dirt ,30
1114,CRBU: Gothic Townsite Dry Meadow,"Species/FT cover initially summed to 5% more than PV cover, reduced other forb by 5%.",Other Cover Types,Nonvegetated Rock,10
1114,CRBU: Gothic Townsite Dry Meadow,"Species/FT cover initially summed to 5% more than PV cover, reduced other forb by 5%.",Other Cover Types,Non-Photosynthetic Vegetation,20
1115,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Asteraceae-Heterotheca villosa,10
1115,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Forb ,10
1115,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,10
1115,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Graminoid ,10
1115,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Dirt ,15
1115,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Rock,30
1115,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Non-Photosynthetic Vegetation,15
1116,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Polygonaceae-Eriogonum umbellatum,15
1116,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Poaceae-Festuca thurberi,10
1116,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Forb ,5
1116,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Dirt ,10
1116,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Rock,40
1116,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Non-Photosynthetic Vegetation,20
1117,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Polygonaceae-Eriogonum umbellatum,15
1117,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Caryophyllaceae-Eremogone congesta,10
1117,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Forb ,5
1117,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Graminoid ,5
1117,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Dirt ,10
1117,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Rock,40
1117,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Non-Photosynthetic Vegetation,15
1118,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Poaceae-Festuca thurberi,15
1118,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Forb ,5
1118,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Dirt ,45
1118,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Rock,30
1118,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1119,CRBU: Gothic Townsite Dry Meadow,Voucher ID: 9013,Live Vegetation - Named Species,Poaceae-Achnatherum lettermanii,10
1119,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Forb ,10
1119,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Dirt ,20
1119,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Rock,40
1119,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Non-Photosynthetic Vegetation,20
1120,CRBU: Gothic Townsite Dry Meadow,Voucher ID: 9024,Live Vegetation - Named Species,Cyperaceae-Carex praticola,10
1120,CRBU: Gothic Townsite Dry Meadow,"initially summed to 96%, boosted rock by 4% after reviewing photo.",Live Vegetation - Named Species,Asteraceae-Artemisia dracunculus,20
1120,CRBU: Gothic Townsite Dry Meadow,"initially summed to 96%, boosted rock by 4% after reviewing photo.",Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,25
1120,CRBU: Gothic Townsite Dry Meadow,"initially summed to 96%, boosted rock by 4% after reviewing photo.",Live Vegetation - Other Species,Other Deciduous Shrub ,5
1120,CRBU: Gothic Townsite Dry Meadow,"initially summed to 96%, boosted rock by 4% after reviewing photo.",Live Vegetation - Other Species,Other Graminoid ,5
1120,CRBU: Gothic Townsite Dry Meadow,"initially summed to 96%, boosted rock by 4% after reviewing photo.",Other Cover Types,Nonvegetated Dirt ,10
1120,CRBU: Gothic Townsite Dry Meadow,"initially summed to 96%, boosted rock by 4% after reviewing photo.",Other Cover Types,Nonvegetated Rock,5
1120,CRBU: Gothic Townsite Dry Meadow,"initially summed to 96%, boosted rock by 4% after reviewing photo.",Other Cover Types,Non-Photosynthetic Vegetation,20
1121,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Polygonaceae-Eriogonum umbellatum,50
1121,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Forb ,10
1121,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Graminoid ,20
1121,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Dirt ,5
1121,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Rock,10
1121,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1122,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,50
1122,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Polygonaceae-Eriogonum umbellatum,10
1122,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Forb ,10
1122,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Graminoid ,5
1122,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Dirt ,5
1122,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Rock,5
1122,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Non-Photosynthetic Vegetation,15
1123,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Asteraceae-Achillea millefolium,15
1123,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Polygonaceae-Eriogonum umbellatum,35
1123,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Forb ,5
1123,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Graminoid ,25
1123,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Non-Photosynthetic Vegetation,20
1124,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,25
1124,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Berberidaceae-Mahonia repens,20
1124,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Forb ,15
1124,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Graminoid ,5
1124,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Rock,15
1124,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Non-Photosynthetic Vegetation,20
1125,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Asteraceae-Hymenoxys hoopesii,20
1125,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Poaceae-Festuca thurberi,10
1125,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,10
1125,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Forb ,10
1125,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Rock,5
1125,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Non-Photosynthetic Vegetation,45
1126,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,35
1126,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Asteraceae-Heterotheca villosa,10
1126,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Forb ,10
1126,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,5
1126,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Graminoid ,10
1126,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Dirt ,5
1126,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Nonvegetated Rock,5
1126,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Non-Photosynthetic Vegetation,20
1127,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,20
1127,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Polygonaceae-Eriogonum umbellatum,30
1127,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Asteraceae-Artemisia dracunculus,15
1127,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Asteraceae-Achillea millefolium,10
1127,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Graminoid ,5
1127,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Non-Photosynthetic Vegetation,20
1128,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Asteraceae-Helianthella quinquenervis,10
1128,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,10
1128,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Poaceae-Festuca thurberi,15
1128,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,10
1128,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Other Species,Other Forb ,5
1128,CRBU: Gothic Townsite Dry Meadow,NA,Other Cover Types,Non-Photosynthetic Vegetation,50
1129,CRBU: Gothic Townsite Dry Meadow,"low-NDVI outlier, likely due to low cover just outside of plot. Reduced PV cover by 10% and boosted soil and NPV by 5% after reviewing photo",Live Vegetation - Named Species,Rosaceae-Amelanchier alnifolia,15
1129,CRBU: Gothic Townsite Dry Meadow,"low-NDVI outlier, likely due to low cover just outside of plot. Reduced PV cover by 10% and boosted soil and NPV by 5% after reviewing photo",Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,20
1129,CRBU: Gothic Townsite Dry Meadow,"low-NDVI outlier, likely due to low cover just outside of plot. Reduced PV cover by 10% and boosted soil and NPV by 5% after reviewing photo",Live Vegetation - Other Species,Other Forb ,10
1129,CRBU: Gothic Townsite Dry Meadow,"low-NDVI outlier, likely due to low cover just outside of plot. Reduced PV cover by 10% and boosted soil and NPV by 5% after reviewing photo",Live Vegetation - Other Species,Other Deciduous Shrub ,5
1129,CRBU: Gothic Townsite Dry Meadow,"low-NDVI outlier, likely due to low cover just outside of plot. Reduced PV cover by 10% and boosted soil and NPV by 5% after reviewing photo",Other Cover Types,Nonvegetated Dirt ,10
1129,CRBU: Gothic Townsite Dry Meadow,"low-NDVI outlier, likely due to low cover just outside of plot. Reduced PV cover by 10% and boosted soil and NPV by 5% after reviewing photo",Other Cover Types,Nonvegetated Rock,20
1129,CRBU: Gothic Townsite Dry Meadow,"low-NDVI outlier, likely due to low cover just outside of plot. Reduced PV cover by 10% and boosted soil and NPV by 5% after reviewing photo",Other Cover Types,Non-Photosynthetic Vegetation,20
1130,CRBU: Gothic Townsite Dry Meadow,NA,Live Vegetation - Named Species,Asteraceae-Heterotheca villosa,20
